word,entropy,std,std.log,residual
niece,5.26608697980698,78.60204121240706,4.364397668721455,21.889305622315916
lymph,3.9976246912718723,76.12383709465385,4.332361449652673,17.356494448663398
raven,5.37558725505558,45.987440960771195,3.8283683366197114,8.146980323388519
pagan,4.849355923627136,94.91403845624932,4.552971623613825,27.523157857584337
bonus,4.801005906164768,63.73597962311042,4.15474923237032,4.9825723478439485
colon,5.227610403671426,67.28404194991325,4.208923090404658,9.642852845367798
graft,5.137843761495091,54.09772606052814,3.9907921528161605,5.755009817678463
folly,5.017325381071689,79.81540513689663,4.379716532652901,16.893456418754056
newer,5.1067307184550685,78.08752417132072,4.357830302361125,17.45342102807109
whale,5.29039768567149,52.03249171321717,3.951868364088587,4.099643634112809
weigh,4.594770271971332,66.98993729918595,4.204542418546995,7.599031429597915
basal,5.201741944591397,72.28873195622927,4.280668265790843,14.016756744533211
bosom,4.578332754974206,89.59987040180215,4.49535387357138,14.528564863631232
coral,5.670888629149899,40.647697428555496,3.7049421905655247,7.005402401182515
belle,5.414394204834923,100.08784997523628,4.606048300085395,46.84446416990832
alloy,5.227702208938487,63.548686173494936,4.151806323519236,5.909726274168641
groan,5.396685796821927,45.960805415604064,3.827788977100376,7.687703232319727
exert,4.677087028633679,85.92009691142044,4.453417758686134,13.714511308324177
torch,5.409035830933284,47.862440607187864,3.8683310758977147,5.503269772569325
gloom,4.715433662979119,84.45364642845048,4.436202820870494,13.340075608796482
creep,5.483870801790323,72.8222526588244,4.28802157688602,21.14440033933991
crest,5.806392844387073,36.40715599025861,3.594765348459769,8.502326043594316
align,5.238709432533842,51.58594144824771,3.9432491828122385,5.786224567022757
minus,4.673115315372966,65.27396350321224,4.178593235534759,7.045389922581833
elect,5.349228217361884,67.35283494404672,4.209944994680919,12.606410198578459
erect,5.565158354392509,62.44697354502855,4.134317773348081,12.552413999058807
handy,4.98186122679823,57.670824887544974,4.0547514111065235,6.176118772312456
crust,5.549848669186044,44.83757179406301,3.8030464440628733,5.3888652766769525
stall,5.648873277215997,55.36160822527879,4.013886361199579,7.249063183737981
stain,5.612830512989088,41.03231922244001,3.7143600298978043,7.840674288467341
brook,4.916392933013309,80.19806960349884,4.384499444800977,14.617461228515666
teddy,4.746143258618582,66.94362501960582,4.203850847582643,3.303786310497415
venue,4.782060784673116,95.81331596507188,4.562401672865274,26.569505869227797
awoke,4.718896879228233,63.62818030036232,4.153056458695931,7.387338525569021
fungi,4.241680453293157,81.9476395102493,4.406080500751191,3.4715306211283234
shrug,4.787890148408382,62.263314025495795,4.131372392403409,6.818573709036734
rabbi,4.4448705738203165,65.04385984628914,4.175061809208819,14.022690991084573
